priority_rank,grid_id,latitude,longitude,grid_lat,grid_lon,violation_count,unique_vehicles,impact_sum,impact_avg,peak_hour_share,junction_share,active_days,police_station,junction_name,top_vehicle_type,repeat_density,parking_violation_frequency_score,repeat_hotspot_density_score,junction_proximity_score,peak_hour_weight_score,vehicle_blockage_score,parking_violation_density_score,estimated_speed_drop_score,road_occupancy_score,road_importance_score,congestion_impact_score,score_formula,risk_band,recommended_action
1801,"12.923,77.651",12.922846651543509,77.65143706234058,12.923,77.651,46,46,51.514,1.1198695652173913,0.6086956521739131,0.0,21,HSR Layout,No Junction,CAR,2.1904761904761907,41.005670643518386,2.28937728937729,0.0,60.86956521739131,15.711623779946763,41.005670643518386,47.60894866478123,15.711623779946763,0.0,24.632731479485482,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1802,"12.9,77.647",12.900171275,77.64704269375,12.9,77.647,16,6,24.822000000000003,1.5513750000000002,1.0,0.0,5,HSR Layout,No Junction,MAXI-CAB,3.2,27.796907364268414,4.230769230769231,0.0,100.0,24.517857142857142,27.796907364268414,45.13720590608448,24.517857142857142,0.0,24.628240967685386,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1803,"12.969,77.583",12.968911,77.5825149,12.969,77.583,5,4,6.628125000000001,1.325625,0.0,1.0,1,Halasuru Gate,BTP038 - Mysore Bank Junction,LGV,5.0,14.269663498376959,7.6923076923076925,100.0,0.0,19.91071428571429,14.269663498376959,16.62471315548818,19.91071428571429,100.0,24.622013750999137,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1804,"12.911,77.586",12.910594616666666,77.58595163333332,12.911,77.586,6,6,5.6175,0.9362499999999999,0.16666666666666666,1.0,4,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",CAR,1.5,16.271896999558507,0.9615384615384616,100.0,16.666666666666664,11.964285714285712,16.271896999558507,16.888383698382096,11.964285714285712,100.0,24.612238653303258,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1805,"12.931,77.611",12.931001933333333,77.6106851,12.931,77.611,6,6,8.340625,1.3901041666666665,0.0,1.0,2,Madiwala,BTP140 - Madiwala Check Post,CAR,3.0,16.271896999558507,3.8461538461538463,100.0,0.0,21.2266156462585,16.271896999558507,18.569015535302295,21.2266156462585,100.0,24.592958825987715,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1806,"12.963,77.602",12.963043028571429,77.60172425714286,12.963,77.602,7,7,6.5,0.9285714285714286,0.0,1.0,2,Ashok Nagar,BTP172 - Nanjappa Circle,CAR,3.5,18.006310549157188,4.807692307692308,100.0,0.0,11.807580174927114,18.006310549157188,16.462097910553812,11.807580174927114,100.0,24.585205314078664,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1807,"12.909,77.602",12.908617385714285,77.60190185714285,12.909,77.602,7,5,4.475,0.6392857142857142,0.14285714285714285,1.0,4,Mico Layout,BTP130 - GD Mara Junction,SCOOTER,1.75,18.006310549157188,1.4423076923076923,100.0,14.285714285714285,5.903790087463555,18.006310549157188,14.696397824064158,5.903790087463555,100.0,24.582051580057584,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1808,"12.965,77.604",12.9651986375,77.603651075,12.965,77.604,8,8,4.0,0.5,0.0,1.0,2,Ashok Nagar,"BTP099 - Cash Pharmacy, Residency Road",SCOOTER,4.0,19.536171722175325,5.769230769230769,100.0,0.0,3.0612244897959187,19.536171722175325,12.569625069639786,3.0612244897959187,100.0,24.562898830157415,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1809,"12.914,77.61",12.9139204,77.60990687,12.914,77.61,10,9,6.3125,0.63125,0.0,1.0,8,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",SCOOTER,1.25,22.142644749799757,0.4807692307692308,100.0,0.0,5.739795918367347,22.142644749799757,16.21904646666968,5.739795918367347,100.0,24.551229799448947,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1810,"12.991,77.558",12.990988871428572,77.55782450000001,12.991,77.558,7,7,9.803125,1.4004464285714284,0.0,1.0,5,Rajajinagar,BTP006 - Navarang Bar Junction,CAR,1.4,18.006310549157188,0.769230769230769,100.0,0.0,21.43768221574344,18.006310549157188,19.96545620000962,21.43768221574344,100.0,24.538600133544914,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1811,"12.972,77.626",12.972187035897436,77.62579361794872,12.972,77.626,78,68,90.22,1.1566666666666667,0.3333333333333333,0.0,40,Halasur,No Junction,CAR,1.95,47.750761618159096,1.8269230769230766,0.0,33.33333333333333,16.462585034013603,47.750761618159096,48.22324319995245,16.462585034013603,0.0,24.5366272532291,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1812,"12.962,77.604",12.962384899999998,77.6041232,12.962,77.604,3,3,4.5125,1.5041666666666667,0.3333333333333333,1.0,2,Ashok Nagar,BTP172 - Nanjappa Circle,CAR,1.5,9.003155274578596,0.9615384615384616,100.0,33.33333333333333,23.554421768707485,9.003155274578596,16.447727733908508,23.554421768707485,100.0,24.530422235420136,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1813,"12.986,77.593",12.985769499999998,77.59315336666667,12.986,77.593,3,3,4.85,1.6166666666666665,0.3333333333333333,1.0,3,Cubbon Park,BTP166 - Coffee Board Junction,CAR,1.0,9.003155274578596,0.0,100.0,33.33333333333333,25.850340136054417,9.003155274578596,17.120585043780313,25.850340136054417,100.0,24.51962945677021,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1814,"13.005,77.55",13.0052678,77.549807475,13.005,77.55,4,4,5.5125,1.378125,0.25,1.0,3,Malleshwaram,"BTP026 - 1st Block Junction, Rajajinagar",CAR,1.3333333333333333,11.90152390009879,0.641025641025641,100.0,25.0,20.98214285714286,11.90152390009879,17.528202930712563,20.98214285714286,100.0,24.519080256010213,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1815,"12.972,77.508",12.971810983561644,77.5077354,12.972,77.508,73,72,74.334,1.0182739726027397,0.3835616438356164,0.0,34,Jnanabharathi,No Junction,CAR,2.1470588235294117,46.9015175464335,2.205882352941176,0.0,38.35616438356164,13.63824433883142,46.9015175464335,47.17880778052928,13.63824433883142,0.0,24.511518479048004,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1816,"12.974,77.584",12.97429605,77.5840144,12.974,77.584,2,2,3.05,1.525,0.5,1.0,2,Halasuru Gate,BTP038 - Mysore Bank Junction,CAR,1.0,5.266508223798365,0.0,100.0,50.0,23.979591836734688,5.266508223798365,14.161851530538543,23.979591836734688,100.0,24.504562473192813,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1817,"13.01,77.553",13.0099573,77.55278898,13.01,77.553,5,5,6.81,1.3619999999999999,1.0,0.4,2,Malleshwaram,No Junction,CAR,2.5,14.269663498376959,2.8846153846153846,40.0,100.0,20.653061224489793,14.269663498376959,27.47580122739985,20.653061224489793,40.0,24.49432536795361,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1818,"12.982,77.594",12.982049183333332,77.59416768333334,12.982,77.594,6,6,9.45,1.575,0.0,1.0,3,Cubbon Park,BTP036 - Police Thimmaiah Circle (GPO),CAR,2.0,16.271896999558507,1.9230769230769231,100.0,0.0,25.0,16.271896999558507,19.64641428955629,25.0,100.0,24.489528030592634,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1819,"12.97,77.62",12.96984358,77.6197234,12.97,77.62,5,5,11.009375,2.2018750000000002,0.0,1.0,5,Halasur,BTP143 - ASC Junction,HGV,1.0,14.269663498376959,0.0,100.0,0.0,37.79336734693878,14.269663498376959,20.98163888328297,37.79336734693878,100.0,24.48720213404466,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1820,"12.957,77.55",12.95685536,77.55018076,12.957,77.55,5,5,6.25,1.25,0.0,1.0,1,Byatarayanapura,"BTP093 - Toll Gate, Mysore Road",CAR,5.0,14.269663498376959,7.6923076923076925,100.0,0.0,18.36734693877551,14.269663498376959,16.136642362040302,18.36734693877551,100.0,24.46767701630526,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1821,"12.96,77.568",12.960384566666667,77.56818383333334,12.96,77.568,3,3,9.31875,3.1062499999999997,0.0,1.0,2,Chamarajpet,BTP213 - Royan Circle,HGV,1.5,9.003155274578596,0.9615384615384616,100.0,0.0,56.249999999999986,9.003155274578596,19.52507628895975,56.249999999999986,100.0,24.466646725216055,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1822,"12.976,77.62",12.97582494639846,77.6201809318033,12.976,77.62,67,66,72.52550000000001,1.0824701492537314,0.417910447761194,0.0,34,Halasur,No Junction,CAR,1.9705882352941178,45.80321791342561,1.8665158371040727,0.0,41.7910447761194,14.948370392933294,45.80321791342561,47.66043131746171,14.948370392933294,0.0,24.461857641551536,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1823,"12.962,77.595",12.96192332,77.59461564,12.962,77.595,5,4,6.234375,1.246875,0.0,1.0,1,Ashok Nagar,"BTP101 - Blood Bank Circle, KH Road",CAR,5.0,14.269663498376959,7.6923076923076925,100.0,0.0,18.303571428571427,14.269663498376959,16.11593033837558,18.303571428571427,100.0,24.46129946528485,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1824,"12.91,77.586",12.910442399999999,77.58599994,12.91,77.586,5,5,5.25,1.05,0.2,1.0,3,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",CAR,1.6666666666666667,14.269663498376959,1.2820512820512822,100.0,20.0,14.285714285714285,14.269663498376959,16.60641855255128,14.285714285714285,100.0,24.45694964843503,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1825,"13.03,77.581",13.02995076923077,77.5809635923077,13.03,77.581,13,13,15.309000000000001,1.1776153846153847,1.0,0.0,2,Kodigehalli,No Junction,CAR,6.5,25.2750522741371,10.576923076923077,0.0,100.0,16.89010989010989,25.2750522741371,38.35058692408823,16.89010989010989,0.0,24.443262667896597,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1826,"12.912,77.588",12.91192906,77.58784524000001,12.912,77.588,5,5,5.6875,1.1375,0.2,1.0,4,J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",CAR,1.25,14.269663498376959,0.4807692307692308,100.0,20.0,16.07142857142857,14.269663498376959,17.325891653696274,16.07142857142857,100.0,24.435200564185948,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1827,"13.006,77.558",13.005948516666665,77.55757685,13.006,77.558,6,6,7.875,1.3125,0.0,1.0,2,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",CAR,3.0,16.271896999558507,3.8461538461538463,100.0,0.0,19.642857142857142,16.271896999558507,18.07812017238975,19.642857142857142,100.0,24.43458297564758,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1828,"12.876,77.596",12.876182675757576,77.5958968378788,12.876,77.596,66,62,41.954,0.6356666666666667,0.4393939393939394,0.0,19,Hulimavu,No Junction,SCOOTER,3.473684210526316,45.6107876165555,4.757085020242916,0.0,43.93939393939394,5.829931972789117,45.6107876165555,41.756816034096246,5.829931972789117,0.0,24.410518892901237,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1829,"12.957,77.583",12.957046742932391,77.58286385773624,12.957,77.583,6,6,9.909375,1.6515625,0.0,1.0,4,City Market,BTP167 - JC Road Junction,CAR,1.5,16.271896999558507,0.9615384615384616,100.0,0.0,26.5625,16.271896999558507,20.059412233320057,26.5625,100.0,24.405393415208017,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1830,"12.933,77.601",12.9332148625,77.601316275,12.933,77.601,8,8,8.3375,1.0421875,0.0,1.0,6,Mico Layout,BTP126 - Dairy Circle,CAR,1.3333333333333333,19.536171722175325,0.641025641025641,100.0,0.0,14.126275510204081,19.536171722175325,18.56580321496289,14.126275510204081,100.0,24.387352650146948,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1831,"12.946,77.53",12.9462252,77.52962588,12.946,77.53,5,5,10.7625,2.1525,0.0,1.0,5,Byatarayanapura,BTP098 - Nayandahalli Junction,CAR,1.0,14.269663498376959,0.0,100.0,0.0,36.78571428571428,14.269663498376959,20.782236020896576,36.78571428571428,100.0,24.38643682792221,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1832,"12.914,77.605",12.913597625233644,77.60517250373832,12.914,77.605,107,98,62.46,0.5837383177570094,0.12149532710280374,0.0,21,Mico Layout,No Junction,SCOOTER,5.095238095238095,51.812145769709474,7.875457875457875,0.0,12.149532710280374,4.770169750143048,51.812145769709474,39.56962168432337,4.770169750143048,0.0,24.3856930227906,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1833,"12.957,77.548",12.956581320000002,77.54771006,12.957,77.548,5,5,9.975,1.9949999999999999,0.0,1.0,3,Byatarayanapura,"BTP094 - Sri Skanda Complex, Mysore Road",CAR,1.6666666666666667,14.269663498376959,1.2820512820512822,100.0,0.0,33.57142857142857,14.269663498376959,20.116987846179175,33.57142857142857,100.0,24.385521077006462,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1834,"12.958,77.668",12.958263496296297,77.66833501481482,12.958,77.668,108,98,72.534,0.6716111111111112,0.037037037037037035,0.0,17,HAL Old Airport,No Junction,SCOOTER,6.352941176470588,51.93185912835696,10.294117647058822,0.0,3.7037037037037033,6.563492063492064,51.93185912835696,39.200270873776276,6.563492063492064,0.0,24.372992639827068,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1835,"12.961,77.511",12.961048943396227,77.51119428679246,12.961,77.511,106,102,107.031,1.0097264150943397,0.18867924528301888,0.0,54,Jnanabharathi,No Junction,CAR,1.962962962962963,51.691318782436355,1.851851851851852,0.0,18.867924528301888,13.463804389680401,51.691318782436355,46.63719120361353,13.463804389680401,0.0,24.372663367735736,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1836,"12.962,77.575",12.962213871428572,77.57536698571428,12.962,77.575,7,7,7.671875,1.0959821428571428,0.0,1.0,3,V.V.Puram (C.Pet),BTP082 - KR Market Junction,CAR,2.3333333333333335,18.006310549157188,2.5641025641025643,100.0,0.0,15.224125364431485,18.006310549157188,17.855847999052838,15.224125364431485,100.0,24.365962397131668,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1837,"12.993,77.552",12.992869533333334,77.55246981666666,12.993,77.552,6,6,10.5,1.75,0.0,1.0,6,Rajajinagar,"BTP170 - Dr. Bheem Rao Palace, Chord Road",CAR,1.0,16.271896999558507,0.0,100.0,0.0,28.57142857142857,16.271896999558507,20.565568678946704,28.57142857142857,100.0,24.365901656966262,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1838,"12.995,77.54",12.995213575000001,77.539818225,12.995,77.54,4,3,5.5125,1.378125,0.25,1.0,4,Vijayanagara,BTP207 - 8th Main Road Basaveshwara Nagar,CAR,1.0,11.90152390009879,0.0,100.0,25.0,20.98214285714286,11.90152390009879,17.528202930712563,20.98214285714286,100.0,24.3588238457538,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1839,"12.95,77.606",12.9497981875,77.6057806875,12.95,77.606,8,8,5.7125,0.7140625,0.0,1.0,3,Adugodi,BTP132 - Anepalya Junction,MOTOR CYCLE,2.6666666666666665,19.536171722175325,3.205128205128205,100.0,0.0,7.429846938775511,19.536171722175325,15.397152792913479,7.429846938775511,100.0,24.358735434029732,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1840,"13.009,77.543",13.008623505747126,77.54311395402299,13.009,77.543,87,81,63.097,0.7252528735632184,0.3103448275862069,0.0,32,Rajajinagar,No Junction,SCOOTER,2.71875,49.15211057353555,3.3052884615384617,0.0,31.03448275862069,7.658221909453437,49.15211057353555,43.733193124978456,7.658221909453437,0.0,24.35643681160625,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1841,"12.995,77.61",12.994697501769911,77.60998033982301,12.995,77.61,113,92,101.52000000000001,0.8984070796460177,0.04424778761061947,0.0,24,Pulikeshinagar(F.Town),No Junction,CAR,4.708333333333333,52.514414497064124,7.131410256410256,0.0,4.424778761061947,11.191981217265667,52.514414497064124,42.62665658894608,11.191981217265667,0.0,24.350294360760977,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1842,"12.916,77.611",12.9164521,77.6109295,12.916,77.611,2,2,2.8875,1.44375,0.5,1.0,2,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",CAR,1.0,5.266508223798365,0.0,100.0,50.0,22.32142857142857,5.266508223798365,13.66288317548438,22.32142857142857,100.0,24.338746146662203,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1843,"12.98,77.613",12.980014012857142,77.61308915428572,12.98,77.613,70,70,73.168,1.0452571428571429,0.38571428571428573,0.0,34,Shivajinagar,No Junction,CAR,2.0588235294117645,46.36397294171451,2.0361990950226243,0.0,38.57142857142858,14.188921282798834,46.36397294171451,47.046050081758764,14.188921282798834,0.0,24.3306739358642,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1844,"12.956,77.576",12.956442480000002,77.57646478000001,12.956,77.576,5,5,4.923125,0.984625,0.2,1.0,3,City Market,BTP118 - Basappa Circle,GOODS AUTO,1.6666666666666667,14.269663498376959,1.2820512820512822,100.0,20.0,12.951530612244897,14.269663498376959,16.035196089474404,12.951530612244897,100.0,24.323531281088094,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1845,"12.949,77.578",12.9490206,77.577766675,12.949,77.578,4,4,4.5,1.125,0.25,1.0,2,V.V.Puram (C.Pet),BTP193 - Vasavi Circle,CAR,2.0,11.90152390009879,1.9230769230769231,100.0,25.0,15.816326530612242,11.90152390009879,15.687668119416893,15.816326530612242,100.0,24.32301144386997,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1846,"12.979,77.601",12.97939005,77.60103415,12.979,77.601,4,4,5.11875,1.2796875,0.25,1.0,3,Cubbon Park,BTP211 - Central Street Junction,PASSENGER AUTO,1.3333333333333333,11.90152390009879,0.641025641025641,100.0,25.0,18.97321428571429,11.90152390009879,16.848896484532226,18.97321428571429,100.0,24.31818739886736,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1847,"12.999,77.557",12.998605566666667,77.5566401,12.999,77.557,3,3,4.2,1.4000000000000001,0.3333333333333333,1.0,2,Malleshwaram,BTP008 - Navarang Theatre,CAR,1.5,9.003155274578596,0.9615384615384616,100.0,33.33333333333333,21.428571428571434,9.003155274578596,15.786915997259651,21.428571428571434,100.0,24.31783720140653,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1848,"12.917,77.611",12.916635466666667,77.61069113333333,12.917,77.611,3,3,4.2,1.4000000000000001,0.3333333333333333,1.0,2,Mico Layout,"BTP163 - 16th Main Road, BTM Layout",OTHERS,1.5,9.003155274578596,0.9615384615384616,100.0,33.33333333333333,21.428571428571434,9.003155274578596,15.786915997259651,21.428571428571434,100.0,24.31783720140653,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1849,"12.931,77.603",12.93093924,77.60278100000001,12.931,77.603,5,4,10.234375000000002,2.0468750000000004,0.0,1.0,4,Mico Layout,"BTP127 - Sagar Hospital, Jayanagar",CAR,1.25,14.269663498376959,0.4807692307692308,100.0,0.0,34.63010204081633,14.269663498376959,20.34122812354552,34.63010204081633,100.0,24.291067911124724,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1850,"12.957,77.519",12.956970838095238,77.5186608952381,12.957,77.519,126,124,83.33200000000001,0.6613650793650794,0.11904761904761904,0.0,44,Byatarayanapura,No Junction,SCOOTER,2.8636363636363638,53.917058125500894,3.583916083916084,0.0,11.904761904761903,6.354389374797538,53.917058125500894,42.42187422662497,6.354389374797538,0.0,24.288717399135322,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1851,"12.957,77.576",12.957210499999999,77.57582888,12.957,77.576,5,5,3.8325000000000005,0.7665000000000001,0.2,1.0,2,V.V.Puram (C.Pet),BTP118 - Basappa Circle,MOTOR CYCLE,2.5,14.269663498376959,2.8846153846153846,100.0,20.0,8.5,14.269663498376959,13.871201409760706,8.5,100.0,24.27901924550463,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1852,"12.957,77.589",12.95705345,77.58889705,12.957,77.589,2,2,2.825,1.4125,0.5,1.0,2,Wilson Garden,"BTP102 - BMTC Junction, KH Road",CAR,1.0,5.266508223798365,0.0,100.0,50.0,21.683673469387756,5.266508223798365,13.465396845750849,21.683673469387756,100.0,24.27497063645812,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1853,"12.87,77.654",12.870091997391304,77.65368258086957,12.87,77.654,115,49,65.4795,0.5693869565217391,0.06956521739130435,0.0,22,Electronic City,No Junction,SCOOTER,5.2272727272727275,52.740312494663975,8.12937062937063,0.0,6.956521739130435,4.477284826974268,52.740312494663975,38.91845010804324,4.477284826974268,0.0,24.27184831181872,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
1854,"13.029,77.539",13.028956690625,77.53926195104167,13.029,77.539,96,93,113.175,1.17890625,0.13541666666666666,0.0,30,Yeshwanthpura,No Junction,CAR,3.2,50.41688484231746,4.230769230769231,0.0,13.541666666666666,16.916454081632654,50.41688484231746,45.91773126024219,16.916454081632654,0.0,24.270258319449223,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Watch,Observe through weekly dashboard
